date,inflation,unemployment
108,.10011101,.099999905
109,.30011177,-.099999905
110,.50011063,0
111,.50011158,-.099999905
112,.20011044,0
113,.20011044,-.20000029
114,.40011215,.099999905
115,.40011024,0
116,.30011082,.30000019
117,.10011101,-.099999905
118,.20011139,.099999905
119,.50011158,-.099999905
120,.70011044,.099999905
121,.60011005,.30000019
122,.30011177,0
123,.4001112,0
124,.0001115799,.5999999
125,-.19989014,.5999999
126,-.099888802,.099999905
127,-1.0998888,.20000029
128,-.29988956,-.10000038
129,-.099887848,-.19999981
130,-.19988918,0
131,.00011062622,0
132,-.19988918,-.30000019
133,-.5998888,.30000019
134,-.39988899,-.099999905
135,-.79988861,0
136,-.49988937,-.20000029
137,-.29988861,.30000019
138,-.099889755,0
139,1.100111,-.30000019
140,.0001115799,.20000029
141,.20011044,.19999981
142,-.69988823,.30000019
143,-.69988918,.4000001
144,-.69989014,.19999981
145,-.59988785,.10000038
146,-.69988966,.29999924
147,-.69988871,.10000038
148,-.29988909,.30000019
149,.30011129,.099999428
150,.30011082,.20000076
151,-.59988928,.19999981
152,-.5998888,0
153,-1.0998888,.30000019
154,.10011101,.29999924
155,-.4998889,.40000057
156,-.69988918,0
157,-.09988904,-.40000057
158,-.19988894,0
159,.10011077,-.099999428
160,.40011096,-.10000038
161,-.5998888,-.099999428
162,-.89988899,0
163,-.099888802,-.70000076
164,.10011077,.10000038
165,.30011106,-.30000019
166,.00011086464,-.39999962
167,.4001112,-.30000019
168,.60011077,-.19999981
169,.5001111,-.30000019
170,.40011072,-.19999981
171,.20011139,0
172,-.29988909,-.10000038
173,-.29988861,-.29999971
174,.00011062622,-.20000029
175,.00011110306,.30000019
176,.00011110306,0
177,.00011110306,-.19999981
178,.00011110306,.099999905
179,-.099889755,-.20000029
180,-.19988871,.10000038
181,-.4998889,0
182,.10011077,-.10000038
183,.20011115,0
184,-.19988918,.10000038
185,.00011110306,-.10000038
186,.10011125,.20000029
187,-.19988918,0
188,-.099888802,-.30000019
189,-.19988918,0
190,.00011110306,0
191,.30011082,-.099999905
192,.30011106,0
193,.20011091,-.30000019
194,-.79988885,.5
195,-.9998889,0
196,-.59988904,-.099999905
197,.10011101,.099999905
198,.10011089,0
199,-.099888921,-.19999981
200,-.09988904,-.099999905
201,.20011091,.099999905
202,-.19988894,0
203,-.29988897,-.099999905
204,-.099888921,-.30000019
205,.20011091,0
206,.50011098,0
207,.90011108,0
208,.90011096,-.29999971
209,.00011110306,0
210,.00011086464,-.10000038
211,.20011115,-.099999905
212,.40011096,-.099999905
213,.00011110306,-.099999905
214,.10011101,.099999905
215,.10011101,-.19999981
216,-.19988918,-.10000038
217,-.19988918,0
218,-.19988871,0
219,-.099889278,0
220,.20011091,-.29999971
221,.00011110306,.19999981
222,.00011110306,-.19999981
223,.10011101,0
224,.00011110306,.19999981
225,.10011053,-.19999981
226,.10011148,0
227,-.099889278,-.099999905
228,.20011139,0
229,.10011101,.099999905
230,.10011053,-.20000029
231,.30011129,-.19999981
232,.10011101,.19999981
233,.30011129,0
234,-.099889755,.10000038
235,-.099888802,-.10000038
236,-.4998889,0
237,-.19988871,.10000038
238,.20011091,0
239,.10011053,.099999905
240,-.099888802,0
241,.60011101,0
242,.10011148,-.099999905
243,-.099889755,-.10000038
244,-.4998889,.20000029
245,-.29988861,0
246,.30011082,-.20000029
247,.10011148,.30000019
248,.90011024,.19999981
249,.5001111,.20000029
250,.20011139,0
251,-.19988918,.29999971
252,.10011148,.10000038
253,-.69988966,.099999905
254,-.29988861,.19999981
255,-.4998889,.20000029
256,.00011110306,-.10000038
257,.20011044,.20000029
258,-.29988909,0
259,-.29988861,-.099999905
260,-.59988904,.099999905
261,-.39988899,0
262,-.59988904,.099999905
263,.30011082,0
264,-.099888802,.30000019
265,-.29988909,0
266,.10011101,.099999905
267,.4001112,0
268,.00011086464,0
269,-.19988894,.19999981
270,.00011086464,.20000029
271,.20011115,-.10000038
272,-.099889278,-.099999905
273,-.099888802,0
274,.30011106,-.29999971
275,-.19988918,.099999905
276,-.099888802,0
277,.30011082,-.099999905
278,-.099888802,-.20000029
279,-.19988918,-.099999905
280,.20011115,.099999905
281,.00011110306,0
282,-.19988918,-.099999905
283,-.19988894,-.099999905
284,.00011086464,-.099999905
285,.00011110306,-.10000038
286,.00011086464,.10000038
287,-.099888802,-.20000029
288,.10011101,-.099999905
289,-.29988909,.099999905
290,.00011110306,0
291,.20011091,-.099999905
292,-.29988885,-.099999905
293,-.099889278,-.30000019
294,.20011115,0
295,.20011091,0
296,.20011115,-.099999905
297,.10011101,-.099999905
298,-.39988923,-.099999905
299,.00011110306,-.20000029
300,.00011086464,-.099999905
301,.30011129,.099999905
302,.00011086464,-.19999981
303,-.09988904,0
304,.30011106,.4000001
305,.00011086464,-.20000029
306,-.099888802,0
307,-.19988918,.099999905
308,-.19988894,0
309,-.09988904,-.099999905
310,.20011115,-.099999905
311,-.09988904,.099999905
312,-.09988904,0
313,.30011106,0
314,-.09988904,-.099999905
315,.10011101,0
316,.00011086464,.099999905
317,.00011110306,0
318,.00011110306,-.29999971
319,.10011101,.19999981
320,-.09988904,-.4000001
321,.20011091,.099999905
322,.10011101,0
323,.20011091,.20000029
324,.10011125,0
325,-.39988899,-.099999905
326,.00011086464,-.10000038
327,-.19988894,0
328,-.39988899,-.099999905
329,-.19988894,-.19999981
330,.00011086464,.099999905
331,.00011110306,-.099999905
332,.10011077,-.099999905
333,-.099888802,.099999905
334,-.09988904,-.20000029
335,-.19988906,-.099999905
336,-.19988883,.099999905
337,-.09988904,-.099999905
338,-.19988906,0
339,.00011098385,.099999905
340,.00011098385,-.39999962
341,.30011106,.099999905
342,-.09988904,.099999905
343,.10011101,0
344,-.099888921,0
345,-.19988906,.099999905
346,.10011101,-.099999905
347,.00011098385,-.099999905
348,.10011101,0
349,.10011101,-.099999905
350,.00011098385,.099999905
351,.00011110306,-.20000029
352,.60011089,.10000038
353,-.19988918,-.10000038
354,-.099888802,.10000038
355,.10011101,0
356,.20011091,-.10000038
357,.30011106,0
358,.00011086464,-.099999905
359,.00011110306,0
360,.10011101,-.099999905
361,.10011101,0
362,.4001112,.099999905
363,.60011077,-.099999905
364,-.79988885,-.20000005
365,.10011077,.20000005
366,.60011125,0
367,-.099889278,0
368,-.19988871,.099999905
369,.10011077,-.19999981
370,.00011110306,0
371,-.099888802,0
372,.00011086464,0
373,.30011106,.29999971
374,-.19988918,0
375,-.4998889,.10000038
376,.20011091,.099999905
377,.40011096,-.099999905
378,-.39988875,.19999981
379,-.49988914,.099999905
380,.00011110306,.30000019
381,-.099889278,.099999905
382,-.4998889,.30000019
383,-.19988894,.19999981
384,-.29988897,.19999981
385,-.39988899,0
386,-.09988904,0
